Depthm,T_degC,Salnty
0,10.5,33.44
8,10.46,33.44
10,10.46,33.437
19,10.45,33.42
20,10.45,33.421
30,10.45,33.431
39,10.45,33.44
50,10.24,33.424
58,10.06,33.42
75,9.86,33.494
78,9.83,33.51
100,9.67,33.58
117,9.5,33.64
125,9.32,33.689
150,8.76,33.847
152,8.71,33.86
200,8.53,33.876
221,8.45,
250,8.26,33.926
285,7.96,33.98
300,7.77,33.99
373,6.8,34.04
400,6.55,34.056
500,5.78,34.113
598,5.3,34.16
600,5.29,34.161
700,5.01,34.21
800,4.72,34.261
896,4.44,34.31
0,10.1,32.95
10,9.89,32.94
20,9.75,32.939
24,9.69,32.95
30,9.52,33.013
47,9.06,33.24
50,9.04,33.272
71,8.92,33.46
75,8.83,33.488
94,8.37,33.6
100,8.26,33.631
125,7.85,33.745
140,7.64,33.8
150,7.5,33.833
189,6.98,33.93
200,6.85,33.939
250,6.32,33.943
282,6.05,33.95
300,5.95,33.957
379,5.6,34.0
400,5.5,34.016
500,5.02,34.101
565,4.74,34.16
600,4.62,34.188
700,4.33,34.259
800,4.08,34.319
840,3.99,34.34
900,3.85,34.354
1000,3.62,34.378
1100,3.38,34.403
1200,3.15,34.429
1203,3.14,34.43
0,10.2,32.63
10,10.05,32.66
20,9.95,32.66
22,9.94,32.66
30,9.92,32.673
38,9.87,32.68
49,9.62,32.75
50,9.66,32.736
55,9.9,32.66
73,9.65,32.74
75,9.62,32.765
99,9.23,33.12
100,9.21,33.132
125,8.79,33.398
150,8.37,33.605
191,7.71,33.82
200,7.58,33.844
250,6.93,33.926
290,6.47,33.93
300,6.37,33.941
400,5.54,34.041
488,5.02,34.11
500,4.97,34.113
600,4.59,34.135
700,4.31,34.151
789,4.14,34.16
800,4.11,34.169
900,3.89,34.252
1000,3.66,34.336
1100,3.43,34.421
1134,3.35,34.45
0,10.4,32.68
8,10.22,32.7
10,10.2,32.694
19,10.14,32.66
20,10.14,32.657
30,10.07,32.641
40,9.97,
50,9.72,32.699
62,9.42,32.79
75,9.32,32.967
84,9.27,33.1
100,9.02,33.286
